candidate_id,source,seed_id,analysis_group,congruency,rt_bin,n_subjects,n_trials,mean_rt,median_rt,error_rate,error_rate_sem
current__factorial_gap_gate,human,7,older_80_89,0,4,4,468,1.150856513755342,1.038875,0.011306160031488979,0.004556024014706369
current__factorial_gap_gate,human,7,older_80_89,1,1,4,469,0.7661385929196219,0.780875,0.09290083636061681,0.029919794558043004
current__factorial_gap_gate,human,7,older_80_89,1,2,4,468,0.8809467603498395,0.881125,0.030114989791288568,0.012854765583692657
current__factorial_gap_gate,human,7,older_80_89,1,3,4,465,0.9811995280889121,0.981,0.01984535040236625,0.007213433961521362
current__factorial_gap_gate,human,7,older_80_89,1,4,4,465,1.282508360353475,1.16225,0.020334373519650374,0.005342406700692999
current__factorial_gap_gate,human,7,young_20_29,0,1,12,472,0.4973445979815323,0.5033333333333333,0.022805121517693618,0.009175655010333046
current__factorial_gap_gate,human,7,young_20_29,0,2,12,472,0.551049728929993,0.5503333333333333,0.016397076039455782,0.006626520394043253
current__factorial_gap_gate,human,7,young_20_29,0,3,12,467,0.6042939719012884,0.602,0.01722962144796682,0.006292699598289082
current__factorial_gap_gate,human,7,young_20_29,0,4,12,463,0.7357254540981127,0.7022499999999999,0.004285679764148664,0.002438235727078484
current__factorial_gap_gate,human,7,young_20_29,1,1,12,472,0.5268698233372492,0.536875,0.13943716601624673,0.019525091727120608
current__factorial_gap_gate,human,7,young_20_29,1,2,12,470,0.597575795707291,0.5970833333333333,0.08234994703293937,0.01683300750672646
current__factorial_gap_gate,human,7,young_20_29,1,3,12,467,0.661532170550705,0.6587500000000001,0.05056809855608927,0.012118627284075653
current__factorial_gap_gate,human,7,young_20_29,1,4,12,461,0.8094435863560462,0.7729166666666667,0.018136383965730057,0.00683317979898138
current__factorial_gap_gate,human,8,older_80_89,0,1,4,472,0.7135494114193273,0.727125,0.02724880107738799,0.011393231938429688
current__factorial_gap_gate,human,8,older_80_89,0,2,4,472,0.8057813516210091,0.804875,0.001937984496124031,0.001937984496124031
current__factorial_gap_gate,human,8,older_80_89,0,3,4,471,0.8894176461802819,0.887375,0.0,0.0
current__factorial_gap_gate,human,8,older_80_89,0,4,4,468,1.150856513755342,1.038875,0.011306160031488979,0.004556024014706369
current__factorial_gap_gate,human,8,older_80_89,1,1,4,469,0.7661385929196219,0.780875,0.09290083636061681,0.029919794558043004
current__factorial_gap_gate,human,8,older_80_89,1,2,4,468,0.8809467603498395,0.881125,0.030114989791288568,0.012854765583692657
current__factorial_gap_gate,human,8,older_80_89,1,3,4,465,0.9811995280889121,0.981,0.01984535040236625,0.007213433961521362
current__factorial_gap_gate,human,8,older_80_89,1,4,4,465,1.282508360353475,1.16225,0.020334373519650374,0.005342406700692999
current__factorial_gap_gate,human,8,young_20_29,0,1,12,472,0.4973445979815323,0.5033333333333333,0.022805121517693618,0.009175655010333046
current__factorial_gap_gate,human,8,young_20_29,0,2,12,472,0.551049728929993,0.5503333333333333,0.016397076039455782,0.006626520394043253
current__factorial_gap_gate,human,8,young_20_29,0,3,12,467,0.6042939719012884,0.602,0.01722962144796682,0.006292699598289082
current__factorial_gap_gate,human,8,young_20_29,0,4,12,463,0.7357254540981127,0.7022499999999999,0.004285679764148664,0.002438235727078484
current__factorial_gap_gate,human,8,young_20_29,1,1,12,472,0.5268698233372492,0.536875,0.13943716601624673,0.019525091727120608
current__factorial_gap_gate,human,8,young_20_29,1,2,12,470,0.597575795707291,0.5970833333333333,0.08234994703293937,0.01683300750672646
current__factorial_gap_gate,human,8,young_20_29,1,3,12,467,0.661532170550705,0.6587500000000001,0.05056809855608927,0.012118627284075653
current__factorial_gap_gate,human,8,young_20_29,1,4,12,461,0.8094435863560462,0.7729166666666667,0.018136383965730057,0.00683317979898138
current__factorial_gap_gate,human,9,older_80_89,0,1,4,472,0.7135494114193273,0.727125,0.02724880107738799,0.011393231938429688
current__factorial_gap_gate,human,9,older_80_89,0,2,4,472,0.8057813516210091,0.804875,0.001937984496124031,0.001937984496124031
current__factorial_gap_gate,human,9,older_80_89,0,3,4,471,0.8894176461802819,0.887375,0.0,0.0
current__factorial_gap_gate,human,9,older_80_89,0,4,4,468,1.150856513755342,1.038875,0.011306160031488979,0.004556024014706369
current__factorial_gap_gate,human,9,older_80_89,1,1,4,469,0.7661385929196219,0.780875,0.09290083636061681,0.029919794558043004
current__factorial_gap_gate,human,9,older_80_89,1,2,4,468,0.8809467603498395,0.881125,0.030114989791288568,0.012854765583692657
current__factorial_gap_gate,human,9,older_80_89,1,3,4,465,0.9811995280889121,0.981,0.01984535040236625,0.007213433961521362
current__factorial_gap_gate,human,9,older_80_89,1,4,4,465,1.282508360353475,1.16225,0.020334373519650374,0.005342406700692999
current__factorial_gap_gate,human,9,young_20_29,0,1,12,472,0.4973445979815323,0.5033333333333333,0.022805121517693618,0.009175655010333046
current__factorial_gap_gate,human,9,young_20_29,0,2,12,472,0.551049728929993,0.5503333333333333,0.016397076039455782,0.006626520394043253
current__factorial_gap_gate,human,9,young_20_29,0,3,12,467,0.6042939719012884,0.602,0.01722962144796682,0.006292699598289082
current__factorial_gap_gate,human,9,young_20_29,0,4,12,463,0.7357254540981127,0.7022499999999999,0.004285679764148664,0.002438235727078484
current__factorial_gap_gate,human,9,young_20_29,1,1,12,472,0.5268698233372492,0.536875,0.13943716601624673,0.019525091727120608
current__factorial_gap_gate,human,9,young_20_29,1,2,12,470,0.597575795707291,0.5970833333333333,0.08234994703293937,0.01683300750672646
current__factorial_gap_gate,human,9,young_20_29,1,3,12,467,0.661532170550705,0.6587500000000001,0.05056809855608927,0.012118627284075653
current__factorial_gap_gate,human,9,young_20_29,1,4,12,461,0.8094435863560462,0.7729166666666667,0.018136383965730057,0.00683317979898138
current__factorial_gap_gate,model,0,older_80_89,0,1,4,472,0.51920118119354,0.5454553522900016,0.003875968992248062,0.002237791741045061
current__factorial_gap_gate,model,0,older_80_89,0,2,4,472,0.7329912926083212,0.7350650705428841,0.01071742379450795,0.002170121160513021
current__factorial_gap_gate,model,0,older_80_89,0,3,4,471,0.8834121984384145,0.8853938047055405,0.012489889222835369,0.0036309330196138833
current__factorial_gap_gate,model,0,older_80_89,0,4,4,468,1.1311882980317163,1.0901372444948283,0.00390625,0.0022552744890219755
current__factorial_gap_gate,model,0,older_80_89,1,1,4,469,0.7835111875453953,0.8122538884043093,0.11145140261954828,0.017741027324128276
current__factorial_gap_gate,model,0,older_80_89,1,2,4,468,1.032809320640785,1.0391291331837795,0.05927220944301411,0.017836992559932388
current__factorial_gap_gate,model,0,older_80_89,1,3,4,465,1.203989022824667,1.1998967331055794,0.048416763822132745,0.014405771713053876
